# Average monthly mean CO2 concentration for Mauna Loa and South Pole
# Monthly values have been seasonally detrended and are averaged at
# midnight on the 15th of each month
# 17-May-2022 14:09:52
#
# Flag:
#   0 Both MLO and SPO data are real monthly averages
#   1 MLO value is filled from seasonally detrended spline fit
#  2 SPO value is filled from seasonally detrended spline fit
#  3 MLO and SPO values are filled from seasonally detrended spline fit
#   
# CO2 concentrations are reported on the Scripps '12' calibration scale
#
# Yr, Mn, Flag,     MLO,     SPO, Average
1958,03,   0, 314.44, 314.78, 314.61
1958,04,   2, 315.16, 314.58, 314.87
1958,05,   2, 314.70, 314.67, 314.69
1958,06,   1, 315.15, 314.73, 314.94
1958,07,   2, 315.20, 314.83, 315.01
1958,08,   2, 316.21, 314.91, 315.56
1958,09,   0, 316.10, 314.81, 315.46
1958,10,   3, 315.41, 315.06, 315.24
1958,11,   2, 315.21, 315.13, 315.17
1958,12,   2, 315.43, 315.21, 315.32
1959,01,   0, 315.52, 315.17, 315.35
1959,02,   0, 315.84, 315.47, 315.65
1959,03,   0, 315.37, 315.56, 315.47
1959,04,   2, 315.42, 315.49, 315.46
1959,05,   2, 315.48, 315.56, 315.52
1959,06,   2, 316.02, 315.63, 315.82
1959,07,   2, 315.87, 315.69, 315.78
1959,08,   0, 316.08, 315.61, 315.85
1959,09,   0, 316.74, 315.72, 316.23
1959,10,   2, 316.33, 315.90, 316.12
1959,11,   0, 316.69, 315.98, 316.34
1959,12,   2, 316.35, 316.03, 316.19
1960,01,   2, 316.37, 316.10, 316.24
1960,02,   2, 316.33, 316.17, 316.25
1960,03,   2, 316.27, 316.23, 316.25
1960,04,   2, 316.70, 316.29, 316.50
1960,05,   2, 317.21, 316.35, 316.78
1960,06,   0, 317.46, 316.62, 317.04
1960,07,   0, 317.53, 316.67, 317.10
1960,08,   0, 317.22, 316.39, 316.81
1960,09,   2, 317.09, 316.59, 316.84
1960,10,   2, 316.84, 316.64, 316.74
1960,11,   2, 316.88, 316.70, 316.79
1960,12,   2, 316.96, 316.75, 316.86
1961,01,   2, 316.84, 316.81, 316.82
1961,02,   2, 317.05, 316.86, 316.96
1961,03,   2, 317.25, 316.91, 317.08
1961,04,   2, 317.16, 316.97, 317.07
1961,05,   0, 317.75, 317.15, 317.45
1961,06,   0, 317.62, 317.08, 317.35
1961,07,   0, 317.89, 316.89, 317.39
1961,08,   0, 318.08, 317.00, 317.54
1961,09,   0, 317.91, 317.36, 317.63
1961,10,   0, 318.33, 317.26, 317.79
1961,11,   0, 318.00, 317.53, 317.76
1961,12,   0, 317.78, 317.52, 317.65
1962,01,   0, 317.88, 317.53, 317.70
1962,02,   0, 317.89, 317.60, 317.75
1962,03,   0, 318.39, 317.54, 317.97
1962,04,   0, 318.25, 317.57, 317.91
1962,05,   0, 318.17, 317.55, 317.86
1962,06,   0, 318.46, 317.47, 317.97
1962,07,   0, 318.94, 317.23, 318.09
1962,08,   0, 318.70, 317.28, 317.99
1962,09,   0, 319.18, 317.56, 318.37
1962,10,   2, 318.45, 317.82, 318.13
1962,11,   2, 318.59, 317.89, 318.24
1962,12,   0, 318.48, 318.46, 318.47
1963,01,   0, 318.68, 318.21, 318.44
1963,02,   0, 318.41, 318.21, 318.31
1963,03,   0, 318.56, 317.95, 318.25
1963,04,   0, 319.05, 318.35, 318.70
1963,05,   0, 319.39, 318.63, 319.01
1963,06,   0, 319.32, 318.44, 318.88
1963,07,   0, 319.06, 318.21, 318.63
1963,08,   0, 319.07, 318.28, 318.67
1963,09,   0, 319.15, 318.06, 318.61
1963,10,   0, 319.03, 318.53, 318.78
1963,11,   2, 318.97, 318.46, 318.72
1963,12,   2, 319.13, 318.49, 318.81
1964,01,   2, 319.51, 318.52, 319.01
1964,02,   3, 319.37, 318.55, 318.96
1964,03,   3, 319.41, 318.57, 318.99
1964,04,   3, 319.46, 318.60, 319.03
1964,05,   2, 319.39, 318.63, 319.01
1964,06,   2, 319.74, 318.66, 319.20
1964,07,   2, 319.78, 318.70, 319.24
1964,08,   2, 320.02, 318.74, 319.38
1964,09,   2, 319.67, 318.78, 319.23
1964,10,   2, 319.92, 318.82, 319.37
1964,11,   2, 319.59, 318.88, 319.24
1964,12,   2, 319.49, 318.93, 319.21
1965,01,   2, 319.38, 318.99, 319.19
1965,02,   0, 319.79, 319.03, 319.41
1965,03,   0, 319.59, 319.05, 319.32
1965,04,   0, 319.79, 319.15, 319.47
1965,05,   0, 319.30, 319.25, 319.27
1965,06,   2, 319.69, 319.40, 319.54
1965,07,   0, 320.52, 319.33, 319.92
1965,08,   0, 320.18, 319.31, 319.75
1965,09,   2, 320.78, 319.73, 320.25
1965,10,   2, 320.36, 319.84, 320.10
1965,11,   0, 320.79, 319.83, 320.31
1965,12,   0, 320.20, 320.11, 320.15
1966,01,   0, 320.57, 320.43, 320.50
1966,02,   0, 320.93, 320.39, 320.66
1966,03,   0, 321.08, 320.54, 320.81
